journal_entry_id,posting_date,prepared_by
392,01/04/2024,Ignacio Corral Aragón
393,01/04/2024,Albert De Moya Palacio
394,08/04/2024,Ignacio Corral Aragón
395,08/04/2024,Albert De Moya Palacio
396,05/04/2024,Joanna Rodriguez Loaiza
397,05/04/2024,Joanna Rodriguez Loaiza
398,08/04/2024,Fernando Gómez
399,05/04/2024,Joanna Rodriguez Loaiza
400,05/04/2024,Joanna Rodriguez Loaiza
401,05/04/2024,Joanna Rodriguez Loaiza
402,05/04/2024,Joanna Rodriguez Loaiza
403,05/04/2024,Joanna Rodriguez Loaiza
404,05/04/2024,Joanna Rodriguez Loaiza
405,05/04/2024,Joanna Rodriguez Loaiza
406,05/04/2024,Joanna Rodriguez Loaiza
407,05/04/2024,Joanna Rodriguez Loaiza
408,05/04/2024,Joanna Rodriguez Loaiza
409,05/04/2024,Joanna Rodriguez Loaiza
410,05/04/2024,Joanna Rodriguez Loaiza
411,01/04/2024,Fernando Gómez
412,05/04/2024,Joanna Rodriguez Loaiza
413,05/04/2024,Joanna Rodriguez Loaiza
414,08/04/2024,Fernando Gómez
415,05/04/2024,Joanna Rodriguez Loaiza
416,04/04/2024,Ignacio Corral Aragón
417,05/04/2024,Joanna Rodriguez Loaiza
418,05/04/2024,Joanna Rodriguez Loaiza
419,04/04/2024,Ignacio Corral Aragón
420,05/04/2024,Joanna Rodriguez Loaiza
421,05/04/2024,Joanna Rodriguez Loaiza
422,05/04/2024,Joanna Rodriguez Loaiza
423,05/04/2024,Joanna Rodriguez Loaiza
424,04/04/2024,Ignacio Corral Aragón
425,05/04/2024,Joanna Rodriguez Loaiza
426,08/04/2024,Ignacio Corral Aragón
427,05/04/2024,Joanna Rodriguez Loaiza
428,04/04/2024,Ignacio Corral Aragón
429,04/04/2024,Ignacio Corral Aragón
430,05/04/2024,Joanna Rodriguez Loaiza
431,08/04/2024,Fernando Gómez
432,04/04/2024,Ignacio Corral Aragón
433,08/04/2024,Fernando Gómez
434,05/04/2024,Joanna Rodriguez Loaiza
435,05/04/2024,Joanna Rodriguez Loaiza
436,05/04/2024,Joanna Rodriguez Loaiza
437,05/04/2024,Joanna Rodriguez Loaiza
438,05/04/2024,Joanna Rodriguez Loaiza
439,05/04/2024,Joanna Rodriguez Loaiza
440,05/04/2024,Joanna Rodriguez Loaiza
441,08/04/2024,Albert De Moya Palacio
442,04/04/2024,Ignacio Corral Aragón
443,05/04/2024,Pablo Mayoral
444,01/04/2024,Pablo Mayoral
445,01/04/2024,manager
446,09/04/2024,Albert De Moya Palacio
447,01/04/2024,manager
448,03/04/2024,Ignacio Corral Aragón
449,03/04/2024,Ignacio Corral Aragón
