journal_entry_id,fiscal_year,period_number,prepared_by,entry_date
100000952,2024,10,W191062,27/10/2024
100000953,2024,10,W191062,27/10/2024
100000958,2024,10,W191062,29/10/2024
100000959,2024,10,W191062,29/10/2024
100000960,2024,10,W191062,29/10/2024
100000961,2024,10,W191062,29/10/2024
100000962,2024,10,W191062,29/10/2024
100000963,2024,10,W191062,29/10/2024
100000964,2024,10,W191062,29/10/2024
100000965,2024,10,W191062,29/10/2024
100000966,2024,10,W191062,29/10/2024
100000967,2024,10,W191062,29/10/2024
100000968,2024,10,W191062,29/10/2024
100000969,2024,10,W191062,29/10/2024
100000970,2024,10,W191062,29/10/2024
100000971,2024,10,W191062,29/10/2024
100000972,2024,10,W191062,29/10/2024
100000973,2024,10,W191062,29/10/2024
100000974,2024,10,W191062,29/10/2024
100000975,2024,10,W191062,29/10/2024
100000976,2024,10,W191062,29/10/2024
100000977,2024,10,W191062,29/10/2024
100000978,2024,10,W191062,29/10/2024
100000979,2024,10,W191062,29/10/2024
100000980,2024,10,W191062,29/10/2024
100000981,2024,10,W191062,29/10/2024
100000982,2024,10,W191062,29/10/2024
100000983,2024,10,W191062,30/10/2024
100000984,2024,10,W191062,30/10/2024
100000985,2024,10,W191062,30/10/2024
100000986,2024,10,W191062,30/10/2024
100000987,2024,10,W191062,30/10/2024
100000988,2024,10,W191062,30/10/2024
100000989,2024,10,W191062,30/10/2024
100000990,2024,10,W191062,30/10/2024
100000991,2024,10,W191062,30/10/2024
100000992,2024,10,W191062,30/10/2024
100000993,2024,10,W191062,30/10/2024
100000994,2024,10,W191062,30/10/2024
100000995,2024,10,W191062,30/10/2024
100000996,2024,10,W191062,30/10/2024
100000997,2024,10,W191062,30/10/2024
100000998,2024,10,W191062,30/10/2024
100000999,2024,10,W191062,30/10/2024
100001000,2024,10,W191062,30/10/2024
100001001,2024,10,W191062,30/10/2024
100001002,2024,10,W191062,30/10/2024
100001003,2024,10,W191062,30/10/2024
100001004,2024,10,W191062,30/10/2024
100001005,2024,10,W191062,30/10/2024
100001006,2024,10,W191062,30/10/2024
100001007,2024,10,W191062,30/10/2024
100001008,2024,10,W191062,30/10/2024
100001009,2024,10,W191062,30/10/2024
100001010,2024,10,W191062,30/10/2024
100001011,2024,10,EXPLOIT$U,31/10/2024
100001012,2024,10,EXPLOIT$U,31/10/2024
100001013,2024,10,W191062,01/11/2024
100001014,2024,10,W191062,01/11/2024
100001016,2024,11,W122814,04/11/2024
100001017,2024,11,W122814,04/11/2024
100001018,2024,11,W122814,04/11/2024
100001031,2024,11,W191062,11/11/2024
100001032,2024,11,W122814,11/11/2024
100001033,2024,11,W122814,11/11/2024
100001043,2024,11,W106467,19/11/2024
100001047,2024,11,W122814,22/11/2024
100001048,2024,11,W191062,22/11/2024
100001057,2024,11,W191062,25/11/2024
100001058,2024,11,W191062,25/11/2024
100001059,2024,11,W191062,25/11/2024
100001060,2024,11,W191062,25/11/2024
