journal_entry_id,posting_date,fiscal_year,prepared_by,description
100708955.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708956.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708957.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708958.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708959.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708960.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708961.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708962.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708963.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708964.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708965.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708966.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708967.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708968.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708969.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708970.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708971.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708972.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708973.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708974.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708975.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708976.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708977.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708978.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708979.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708980.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708981.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708982.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708983.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708984.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708985.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708986.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708987.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708988.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708989.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708990.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708991.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708992.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708993.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708994.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708995.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708996.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708997.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708998.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708999.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709000.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709001.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709002.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709003.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709004.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709005.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100709006.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100709007.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
